DIVENUMBER,Date,Expedition,Leg,Dive,Site,Ocean,LargeMarineEcosystem,Country,FishCouncilRegion,Locality,SurveyID,Station,PI,PIAffiliation,Purpose,CruiseComments,EventID,SamplingEquipment,VehicleName,DataProvider,DataContact,Vessel,LocationAccuracy,WebSite,Citation
15040201,20150802,1504,2,1,East Necker Seamount (Keoea Seamount),North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, East Necker Seamount (Keoea Seamount)",EX1504L2,D2-EX1504L2-01,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-01,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040202,20150803,1504,2,2,North French Frigate Shoals (Kanehunamoku Seamount),North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, N. French Frigate Shoals, Kanehunamoku Seamount",EX1504L2,D2-EX1504L2-02,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-02,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040203,20150804,1504,2,3,"St. Rogatien Rift, on the east side of a large rift zone ridge north of St. Rogatien Bank",North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, St. Rogatien Bank, St. Rogatien Rift",EX1504L2,D2-EX1504L2-03,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-03,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040204,20150805,1504,2,4,Maro Crater,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Maro Reef, Maro Crater Ridge",EX1504L2,D2-EX1504L2-04,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-04,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040205,20150806,1504,2,5,Southeast Maro Ridge,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Maro Reef, Southeast Ridge",EX1504L2,D2-EX1504L2-05,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-05,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040206,20150807,1504,2,6,West Northampton Seamount Ridge,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, West Northhampton Seamount, South Ridge",EX1504L2,D2-EX1504L2-06,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-06,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040207,20150808,1504,2,7,Pioneer Bank Ridge,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Pioneer Bank, South Ridge",EX1504L2,D2-EX1504L2-07,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-07,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040208,20150809,1504,2,8,Bank 9 South,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, south of Pearl and Hermes Atoll, Bank 9, South",EX1504L2,D2-EX1504L2-08,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-08,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040209,20150810,1504,2,9,East Salmon Bank,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, East Salmon Bank, West Ridge",EX1504L2,D2-EX1504L2-09,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-09,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040210,20150811,1504,2,10,Salmon Bank Southeast Ridge,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Salmon Seamount, Southeast Ridge",EX1504L2,D2-EX1504L2-10,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-10,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
